ParticipantId,Angular Error 3,Angular Error 4,Angular Error 5,Angular Error 6,Angular Error 7,Angular Error 8,Angular Error 9,Angular Error 10,Angular Error 11,Angular Error 12,Angular Error 13,Angular Error 14,Angular Error 15,Angular Error 16,Angular Error 17,Angular Error 18,Angular Error 19,Angular Error 20,Angular Error 21,Angular Error 22,Efficiency 3,Efficiency 4,Efficiency 5,Efficiency 6,Efficiency 7,Efficiency 8,Efficiency 9,Efficiency 10,Efficiency 11,Efficiency 12,Efficiency 13,Efficiency 14,Efficiency 15,Efficiency 16,Efficiency 17,Efficiency 18,Efficiency 19,Efficiency 20,Efficiency 21,Efficiency 22
TE25EL,10.699999999999964,2.2499999999998876,4.149999999999904,25.450010000000024,13.700000000000031,53.15,106.4499,8.099999999999968,1.0999000000000916,12.100000000000016,15.199999999999987,20.84994999999999,4.349950000000002,3.5499699999999303,1.049959999999821,1.9500000000001463,2.4500500000000223,5.599999999999998,2.700010000000035,12.500000000000002,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.2,1.0,0.7777777777777778,1.0,1.0,1.0,1.0
SO12RI,32.09999999999999,13.550099999999984,80.94999999999997,16.15,67.95002000000004,44.05000000000001,12.949999999999987,75.99989999999997,64.84999999999998,68.00009999999999,49.49999,23.949999999999992,10.899999999999972,23.99999999999999,76.35,133.14999999999995,54.90000000000002,71.20004,111.90000000000002,70.35000000000001,0.5714285714285714,0.7083333333333334,0.42857142857142855,0.47058823529411764,1,0.20588235294117646,0.7777777777777778,0.38461538461538464,0.47368421052631576,0.3076923076923077,0.8461538461538461,0.7777777777777778,0.7333333333333333,0.6956521739130435,0.75,0.5789473684210527,0.045454545454545456,1.0,0.7777777777777778,0.36363636363636365
AL15MA,69.2498,70.44999999999999,133.20005,0.4999000000001298,111.89999999999999,53.049800000000026,100.69990000000003,48.95003000000003,75.30000000000003,36.0499,100.69999999999999,9.650000000000038,57.300099999999986,139.35009999999997,13.049899999999973,47.600030000000004,96.75009999999999,53.65010000000001,26.649999999999974,162.74994,0.3333333333333333,0.2,0.21875,1,0.7777777777777778,0.3076923076923077,1.0,0.5714285714285714,0.8461538461538461,0.32,0.27586206896551724,0.3333333333333333,0.4444444444444444,0.32142857142857145,0.5714285714285714,0.5862068965517241,1.0,0.4827586206896552,0.5833333333333334,0.8
IS04LI,78.99979999999996,109.79993999999999,56.999999999999986,80.35009,9.649900000000041,165.10000000000002,11.54999999999996,0.49999999999986244,115.09988,64.85009999999998,44.05000000000001,56.599997,28.999999999999982,50.14999999999998,114.80000000000001,9.250079999999992,108.44980000000001,41.70010000000001,64.15000000000003,109.29987,0.8461538461538461,0.42857142857142855,0.35294117647058826,0.7391304347826086,0.25925925925925924,0.42857142857142855,0.14285714285714285,0.36666666666666664,0.7058823529411765,0.9090909090909091,0.7333333333333333,0.4,0.8,0.30434782608695654,1.0,0.47058823529411764,0.875,0.4444444444444444,0.4827586206896552,0.6666666666666666
BR22FA,2.900009999999963,45.09996999999999,2.9501000000001625,8.599979999999988,6.349999999999974,16.35000000000001,12.850000000000046,54.29989999999999,5.000099999999977,6.100000000000044,5.450030000000024,10.899999999999972,65.04990000000001,14.65026800000003,13.749999999999975,15.449952999999999,14.400100000000005,21.450099999999978,8.049999999999995,10.599939999999977,0.6666666666666666,1.0,1,1.0,1,1.0,0.8181818181818182,1.0,0.3333333333333333,0.6666666666666666,0.6923076923076923,1.0,0.7777777777777778,0.7692307692307693,1.0,0.85,1.0,1,1,0.1111111111111111
SA10YA,35.500099999999954,37.700050000000005,16.525070000000003,4.150199999999943,81.07498000000001,61.849899999999984,23.149799999999967,5.824999999999929,28.599999999999994,55.800000000000004,15.974899999999987,19.950000000000024,20.800000000000022,47.174899999999994,2.300029999999982,11.699999999999946,41.39989999999998,4.174999999999917,19.324999999999996,62.8499,0.4375,0.1111111111111111,0.47058823529411764,1.0,0.8461538461538461,1,0.35,0.5,0.6923076923076923,0.85,0.7777777777777778,1.0,0.8461538461538461,0.6,0.7058823529411765,0.8421052631578947,1.0,0.47368421052631576,0.6666666666666666,0.7777777777777778
KE17FI,11.299899999999989,24.6,17.29999999999997,3.499909999999916,22.15009999999999,13.249919999999973,8.80010000000002,29.85000000000004,31.54996999999999,31.34999000000002,6.149999999999969,13.250020000000017,8.250040000000016,1.600039999999978,2.8500999999999954,0.19999999999981224,4.850000000000002,6.350100000000033,19.950099999999992,11.850000000000055,0.5384615384615384,0.8461538461538461,0.09090909090909091,1.0,0.9,1.0,1.0,0.7777777777777778,1.0,0.6666666666666666,1,1.0,1,0.6666666666666666,1,1.0,1.0,1,1,1.0
YI11LI,8.449900000000023,156.35004000000004,50.899899999999995,18.7,11.29999999999994,61.55001000000003,18.800010999999984,128.00007200000002,65.49999999999997,48.15,4.7999999999999785,10.350000000000055,69.0499,70.50009999999997,49.4,61.999999999999986,17.80006999999997,66.19997999999998,16.35000000000001,22.599999999999984,1.0,0.7777777777777778,0.4,0.8333333333333334,1,0.8095238095238095,0.8,1.0,0.3103448275862069,1.0,0.47368421052631576,0.9166666666666666,0.7333333333333333,0.09090909090909091,0.5789473684210527,1.0,0.3333333333333333,0.19444444444444445,0.6,0.2857142857142857
XI31SH,12.349899999999943,36.19992,22.750100000000014,4.699899999999943,22.899999999999977,21.95000000000001,6.600000000000043,14.600100000000015,49.00002000000001,17.749900000000007,32.94999999999998,7.4500099999999945,9.749999999999993,19.849900000000012,50.150000000000006,6.199999999999944,49.00001999999999,3.6999999999999678,15.050099999999974,19.049982000000004,0.05555555555555555,1.0,1.0,1.0,0.875,1.0,0.37037037037037035,1.0,0.9166666666666666,0.6923076923076923,1,0.47368421052631576,0.8,0.875,1,0.5714285714285714,0.7777777777777778,0.8888888888888888,0.6470588235294118,0.6071428571428571
TA21CA,60.799899999999994,56.45004000000001,55.8001,66.44999999999999,75.19999999999997,67.85019999999999,97.74990000000001,106.55000000000003,5.149899999999957,11.050200000000052,84.0,17.100000000000065,0.9498000000002148,48.70000000000003,23.29989999999998,77.99999999999999,65.94999000000003,55.550000000000004,38.25000000000002,31.94994000000001,0.7142857142857143,0.5,0.36363636363636365,0.5,0.4,0.39285714285714285,0.6296296296296297,0.5789473684210527,0.2413793103448276,0.47368421052631576,0.5789473684210527,0.7777777777777778,0.47368421052631576,0.047619047619047616,0.44,0.42857142857142855,0.6956521739130435,0.6153846153846154,0.6363636363636364,1.0
